"plot","soil_temp_c","soil_moist_percent","date"
"512","UP_1",10.4,34.2,2022-11-02
"513","UP_2",10.4,32.9,2022-11-02
"514","SW_2",10.4,41.5,2022-11-02
"515","UP_1",10.4,34.2,2022-11-02
"516","UP_2",10.4,32.9,2022-11-02
"517","SW_2",10.4,41.5,2022-11-02
"518","UP_1",10.4,34.2,2022-11-02
"519","UP_2",10.4,32.9,2022-11-02
"520","UP_1",10.3,36.3,2022-11-02
"521","UP_1",10.3,36.3,2022-11-02
"522","UP_1",10.3,36.3,2022-11-02
"523","SW_1",10.2,28.1,2022-10-19
"524","UP_2",10.2,18.7,2022-10-19
"525","SW_1",10.2,28.1,2022-10-19
"526","UP_2",10.2,18.7,2022-10-19
"527","SW_1",10.2,28.1,2022-10-19
"528","UP_2",10.2,18.7,2022-10-19
"529","UP_2",10.1,19.4,2022-10-19
"530","UP_2",10.1,19.4,2022-10-19
"531","UP_2",10.1,19.4,2022-10-19
"532","SW_1",10.1,46.8,2022-11-02
"533","SW_1",10.1,46.8,2022-11-02
"534","SW_1",10.1,46.8,2022-11-02
"535","SW_1",9.9,21.6,2022-10-19
"536","UP_2",9.9,21.4,2022-10-19
"537","SW_1",9.9,21.6,2022-10-19
"538","UP_2",9.9,21.4,2022-10-19
"539","SW_1",9.9,21.6,2022-10-19
"540","UP_2",9.9,21.4,2022-10-19
"541","UP_2",9.8,20.1,2022-10-19
"542","UP_2",9.8,20.1,2022-10-19
"543","UP_2",9.8,20.1,2022-10-19
"544","SW_1",9.8,46.3,2022-11-02
"545","SW_1",9.8,46.2,2022-11-02
"546","UP_1",9.8,37.7,2022-11-02
"547","SW_1",9.8,46.3,2022-11-02
"548","SW_1",9.8,46.2,2022-11-02
"549","UP_1",9.8,37.7,2022-11-02
"550","SW_1",9.8,46.3,2022-11-02
"551","SW_1",9.8,46.2,2022-11-02
"552","UP_1",9.8,37.7,2022-11-02
"553","SW_1",9.6,47.7,2022-11-02
"554","SW_1",9.6,47.7,2022-11-02
"555","SW_1",9.6,47.7,2022-11-02
"556","SW_2",6.8,57.2,2023-03-22
"557","SW_2",6.8,57.2,2023-03-22
"558","SW_2",6.8,57.2,2023-03-22
"559","SW_2",6.3,55.2,2023-03-22
"560","SW_2",6.3,55.2,2023-03-22
"561","SW_2",6.3,55.2,2023-03-22
"562","SW_2",5.9,56.1,2023-03-22
"563","SW_2",5.9,56.1,2023-03-22
"564","SW_2",5.9,56.1,2023-03-22
"565","UP_2",5.7,48.9,2023-03-22
"566","UP_2",5.7,48.9,2023-03-22
"567","UP_2",5.7,48.9,2023-03-22
"568","UP_2",5.4,49.2,2023-03-22
"569","UP_2",5.4,49.2,2023-03-22
"570","UP_2",5.4,49.2,2023-03-22
